Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Change (+/-),Balance,SB Change,SmartBenefit Balance
15,1/9/2014 11:32,Exit,Metrorail,,Court House,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.20),
14,1/9/2014 11:19,Transfer,Metrorail,,Rosslyn,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
13,1/9/2014 10:50,Entry,DC Circulator,Rosslyn - Dupont,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.00),
12,1/7/2014 15:28,Exit,Metrorail,Union Station,Dupont Circle,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.10),
10,1/7/2014 15:13,ALPO Object Update,Metrorail,Union Station,,ALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
11,1/7/2014 15:13,Entry,Metrorail,Union Station,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
9,12/13/2013 20:09,Exit,Metrorail,Union Station,Dupont Circle,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.70),
8,12/13/2013 19:57,Entry,Metrorail,Union Station,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
7,12/12/2013 13:15,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
6,12/12/2013 12:52,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
5,12/11/2013 13:49,Exit,Metrorail,Union Station,Dupont Circle,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.70),
4,12/11/2013 13:32,Entry,Metrorail,Union Station,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
3,12/5/2013 17:32,Exit,Metrorail,Union Station,Dupont Circle,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.10),
2,12/5/2013 17:18,Entry,Metrorail,Union Station,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
1,12/3/2013 16:55,Entry,DC Circulator,Georgetown - Union,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.00),
0,12/3/2013 12:59,Exit,Metrorail,,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
15,12/3/2013 12:34,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
13,12/1/2013 22:34,Exit,Metrorail,Union Station,Dupont Circle,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.70),
14,12/1/2013 22:21,Transfer,DC Circulator,Rosslyn - Dupont,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($0.50),
11,12/1/2013 22:02,ALPO Object Update,Metrorail,Union Station,,ALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
12,12/1/2013 22:02,Entry,Metrorail,Union Station,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
10,11/27/2013 17:18,Exit,Metrorail,Dupont Circle,Union Station,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.10),
9,11/27/2013 17:04,Entry,Metrorail,Dupont Circle,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
8,11/27/2013 14:05,Exit,Metrorail,Union Station,Dupont Circle,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.70),
7,11/27/2013 13:44,Entry,Metrorail,Union Station,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
6,11/26/2013 12:52,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
5,11/26/2013 12:34,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
4,11/22/2013 17:44,Exit,Metrorail,Capitol South,Rosslyn,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.50),
3,11/22/2013 17:23,Entry,Metrorail,Capitol South,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
2,11/21/2013 12:57,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
1,11/21/2013 12:31,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
0,11/19/2013 17:59,Entry,DC Circulator,Georgetown - Union,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($1.00),
15,11/19/2013 12:51,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
14,11/19/2013 12:33,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
13,11/15/2013 9:16,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.50),
12,11/15/2013 8:55,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
11,11/14/2013 12:54,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
10,11/14/2013 12:33,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
9,11/12/2013 12:50,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
8,11/12/2013 12:32,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
7,11/7/2013 12:50,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
6,11/7/2013 12:33,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
5,11/5/2013 12:52,Exit,Metrorail,Rosslyn,Capitol South,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,($2.00),
3,11/5/2013 12:34,ALPO Object Update,Metrorail,Rosslyn,,ALP SB Trn FF,$0.00 ,$14.50 ,$160.00 ,
4,11/5/2013 12:34,Entry,Metrorail,Rosslyn,,Stored ValueALP SB Trn FF,$0.00 ,$14.50 ,$0.00 ,
